year,n_obs_total,n_obs_evaluable,n_censored,n_pos_label_a_abs,event_rate_label_a_abs,n_pos_label_a_rel,event_rate_label_a_rel
2010,1065,1065,0,24,0.022535211267605635,75,0.07042253521126761
2011,1091,1091,0,54,0.04949587534372136,106,0.09715857011915674
2012,1100,1100,0,12,0.01090909090909091,58,0.05272727272727273
2013,1116,1116,0,7,0.0062724014336917565,24,0.021505376344086023
2014,1116,1116,0,32,0.02867383512544803,79,0.07078853046594982
2015,1130,1130,0,69,0.061061946902654866,148,0.13097345132743363
2016,1152,1152,0,6,0.005208333333333333,59,0.051215277777777776
2017,1162,1162,0,28,0.024096385542168676,98,0.08433734939759036
2018,1164,1164,0,101,0.08676975945017182,210,0.18041237113402062
2019,1182,1182,0,219,0.18527918781725888,259,0.21912013536379019
2020,1188,1188,0,38,0.03198653198653199,67,0.0563973063973064
2021,1199,1199,0,157,0.13094245204336946,190,0.15846538782318598
2022,1200,1192,8,85,0.07130872483221476,189,0.15855704697986578
2023,1192,1188,4,24,0.020202020202020204,124,0.10437710437710437
2024,1188,1188,0,60,0.050505050505050504,208,0.1750841750841751
2025,1188,594,594,22,0.037037037037037035,67,0.1127946127946128
2026,594,0,594,0,,0,
