calibration_method,train_start,train_end,theta_abs_floor,candidate_theta_rel,severity_anchor_note,train_n_obs,train_n_pos_rel,train_event_rate_rel,train_event_rate_abs,event_rate_match_gap,chosen_flag,decision_note
economic_severity_anchor,2010-01-31,2020-12-31,-0.15,-0.2,relative underperformance <= -20% and absolute drawdown <= -15%,12466,1773,0.1422268570511792,0.047328734156906783,0.09489812289427244,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.15,-0.25,relative underperformance <= -25% and absolute drawdown <= -15%,12466,1371,0.10997914326969356,0.047328734156906783,0.06265040911278677,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.15,-0.3,relative underperformance <= -30% and absolute drawdown <= -15%,12466,1012,0.08118081180811808,0.047328734156906783,0.033852077651211294,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.15,-0.35,relative underperformance <= -35% and absolute drawdown <= -15%,12466,722,0.0579175356970961,0.047328734156906783,0.010588801540189319,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.2,-0.2,relative underperformance <= -20% and absolute drawdown <= -20%,12466,1437,0.11527354403978822,0.047328734156906783,0.06794480988288143,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.2,-0.25,relative underperformance <= -25% and absolute drawdown <= -20%,12466,1183,0.09489812289427242,0.047328734156906783,0.04756938873736564,1,chosen default; event-rate matching diagnostic only
economic_severity_anchor,2010-01-31,2020-12-31,-0.2,-0.3,relative underperformance <= -30% and absolute drawdown <= -20%,12466,918,0.07364030162040751,0.047328734156906783,0.026311567463500725,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.2,-0.35,relative underperformance <= -35% and absolute drawdown <= -20%,12466,677,0.05430771699021338,0.047328734156906783,0.006978982833306599,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.25,-0.2,relative underperformance <= -20% and absolute drawdown <= -25%,12466,1107,0.08880154018931494,0.047328734156906783,0.041472806032408153,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.25,-0.25,relative underperformance <= -25% and absolute drawdown <= -25%,12466,967,0.07757099310123536,0.047328734156906783,0.030242258944328575,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.25,-0.3,relative underperformance <= -30% and absolute drawdown <= -25%,12466,802,0.06433499117599871,0.047328734156906783,0.017006257019091926,0,sensitivity candidate
economic_severity_anchor,2010-01-31,2020-12-31,-0.25,-0.35,relative underperformance <= -35% and absolute drawdown <= -25%,12466,622,0.04989571634846783,0.047328734156906783,0.002566982191561047,0,sensitivity candidate
