label,model_name,score_decile_low_to_high,n_obs,mean_score,observed_event_rate,n_pos
label_a_abs_40,discrete_time_hazard_price_macro_logit,1,179,0.12799838254223148,0.055865921787709494,10
label_a_abs_40,discrete_time_hazard_price_macro_logit,2,178,0.19557966128465418,0.016853932584269662,3
label_a_abs_40,discrete_time_hazard_price_macro_logit,3,178,0.2212636943412757,0.02247191011235955,4
label_a_abs_40,discrete_time_hazard_price_macro_logit,4,178,0.24463861594773245,0.0056179775280898875,1
label_a_abs_40,discrete_time_hazard_price_macro_logit,5,178,0.27044148103184923,0.016853932584269662,3
label_a_abs_40,discrete_time_hazard_price_macro_logit,6,178,0.3021624625772361,0.028089887640449437,5
label_a_abs_40,discrete_time_hazard_price_macro_logit,7,178,0.34896244301422735,0.05056179775280899,9
label_a_abs_40,discrete_time_hazard_price_macro_logit,8,178,0.4090742708480082,0.07303370786516854,13
label_a_abs_40,discrete_time_hazard_price_macro_logit,9,178,0.5027980657223292,0.08426966292134831,15
label_a_abs_40,discrete_time_hazard_price_macro_logit,10,179,0.6852552484024229,0.10614525139664804,19
label_a_abs_40,pooled_price_macro_logit,1,179,0.07275577523923023,0.0,0
label_a_abs_40,pooled_price_macro_logit,2,178,0.09454211869300877,0.033707865168539325,6
label_a_abs_40,pooled_price_macro_logit,3,178,0.1111503342209736,0.02247191011235955,4
label_a_abs_40,pooled_price_macro_logit,4,178,0.12715135869830685,0.016853932584269662,3
label_a_abs_40,pooled_price_macro_logit,5,178,0.14459214787403066,0.02247191011235955,4
label_a_abs_40,pooled_price_macro_logit,6,178,0.1710286001530722,0.028089887640449437,5
label_a_abs_40,pooled_price_macro_logit,7,178,0.2073421919988601,0.056179775280898875,10
label_a_abs_40,pooled_price_macro_logit,8,178,0.26659856372477836,0.07303370786516854,13
label_a_abs_40,pooled_price_macro_logit,9,178,0.3560998552108753,0.03932584269662921,7
label_a_abs_40,pooled_price_macro_logit,10,179,0.5851280360662906,0.16759776536312848,30
label_a_abs_40,regularized_firm_fe_price_macro_logit,1,179,0.009524238115768654,0.0,0
label_a_abs_40,regularized_firm_fe_price_macro_logit,2,178,0.012394294666944809,0.028089887640449437,5
label_a_abs_40,regularized_firm_fe_price_macro_logit,3,178,0.014288056060077438,0.028089887640449437,5
label_a_abs_40,regularized_firm_fe_price_macro_logit,4,178,0.015821960703233797,0.02247191011235955,4
label_a_abs_40,regularized_firm_fe_price_macro_logit,5,178,0.017445543156816023,0.028089887640449437,5
label_a_abs_40,regularized_firm_fe_price_macro_logit,6,178,0.02005864065817357,0.016853932584269662,3
label_a_abs_40,regularized_firm_fe_price_macro_logit,7,178,0.10652528644810098,0.06179775280898876,11
label_a_abs_40,regularized_firm_fe_price_macro_logit,8,178,0.327484535311834,0.03932584269662921,7
label_a_abs_40,regularized_firm_fe_price_macro_logit,9,178,0.467216340477388,0.07865168539325842,14
label_a_abs_40,regularized_firm_fe_price_macro_logit,10,179,0.6547499499964998,0.1564245810055866,28
