target,model_name,split_or_fold,metric,point_estimate,ci_method,ci_lower_95,ci_upper_95,n_bootstrap,n_obs,n_pos,notes
label_a_abs,naive_drawdown_baseline,fixed_test_2024_plus,AUROC,0.6399103299856528,firm_year_block_bootstrap,0.5134052866471147,0.7280741611633402,300,1782,82,Formal model excludes placeholder financial features.
label_a_abs,naive_drawdown_baseline,fixed_test_2024_plus,AUPRC,0.11363607995948172,firm_year_block_bootstrap,0.040057674374276625,0.2104881608785281,300,1782,82,Formal model excludes placeholder financial features.
label_a_abs,naive_drawdown_baseline,fixed_test_2024_plus,top_decile_capture,0.23170731707317074,firm_year_block_bootstrap,0.05811688311688312,0.4113250740640988,300,1782,82,Formal model excludes placeholder financial features.
label_a_abs,naive_drawdown_baseline,fixed_test_2024_plus,top_quintile_capture,0.32926829268292684,firm_year_block_bootstrap,0.125,0.5151676829268291,300,1782,82,Formal model excludes placeholder financial features.
label_a_abs,naive_drawdown_baseline,fixed_test_2024_plus,brier,0.13383587257979973,firm_year_block_bootstrap,0.11108523409098281,0.15844295064361943,300,1782,82,Formal model excludes placeholder financial features.
label_a_abs,naive_momentum_vol_baseline,fixed_test_2024_plus,AUROC,0.7013199426111908,firm_year_block_bootstrap,0.5535173605765221,0.8203629812031087,300,1782,82,Formal model excludes placeholder financial features.
label_a_abs,naive_momentum_vol_baseline,fixed_test_2024_plus,AUPRC,0.12417500371351772,firm_year_block_bootstrap,0.043778778529118004,0.24628530856621011,300,1782,82,Formal model excludes placeholder financial features.
label_a_abs,naive_momentum_vol_baseline,fixed_test_2024_plus,top_decile_capture,0.2804878048780488,firm_year_block_bootstrap,0.09019674355495251,0.47982954545454537,300,1782,82,Formal model excludes placeholder financial features.
label_a_abs,naive_momentum_vol_baseline,fixed_test_2024_plus,top_quintile_capture,0.43902439024390244,firm_year_block_bootstrap,0.1689815997955533,0.6259242957746479,300,1782,82,Formal model excludes placeholder financial features.
label_a_abs,naive_momentum_vol_baseline,fixed_test_2024_plus,brier,0.04360350453862499,firm_year_block_bootstrap,0.026011002135308922,0.06386695699852495,300,1782,82,Formal model excludes placeholder financial features.
