target,fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_obs_train_raw,n_pos_train_raw,n_obs_train_used,n_pos_train_used,n_obs_val_raw,n_pos_val_raw,n_obs_val_used,n_pos_val_used,n_obs_test_used,n_pos_test_used,n_censored_excluded,n_purged_train_val_boundary,n_purged_val_test_boundary,purge_rule,warning_low_positive_count
label_a_abs,1,2010-01-31,2009-12-31,2010-01-31,2010-12-31,2011-01-31,2011-12-31,0,0,0,0,1065,24,0,0,1091,54,0,0,1065,12-month forward label horizon purge at train-val and val-test boundaries,0
label_a_abs,2,2010-01-31,2010-12-31,2011-01-31,2011-12-31,2012-01-31,2012-12-31,1065,24,0,0,1091,54,0,0,1100,12,0,1065,1091,12-month forward label horizon purge at train-val and val-test boundaries,1
label_a_abs,3,2010-01-31,2011-12-31,2012-01-31,2012-12-31,2013-01-31,2013-12-31,2156,78,1065,24,1100,12,0,0,1116,7,0,1091,1100,12-month forward label horizon purge at train-val and val-test boundaries,1
label_a_abs,4,2010-01-31,2012-12-31,2013-01-31,2013-12-31,2014-01-31,2014-12-31,3256,90,2156,78,1116,7,0,0,1116,32,0,1100,1116,12-month forward label horizon purge at train-val and val-test boundaries,0
label_a_abs,5,2010-01-31,2013-12-31,2014-01-31,2014-12-31,2015-01-31,2015-12-31,4372,97,3256,90,1116,32,0,0,1130,69,0,1116,1116,12-month forward label horizon purge at train-val and val-test boundaries,0
label_a_abs,6,2010-01-31,2014-12-31,2015-01-31,2015-12-31,2016-01-31,2016-12-31,5488,129,4372,97,1130,69,0,0,1152,6,0,1116,1130,12-month forward label horizon purge at train-val and val-test boundaries,1
label_a_abs,7,2010-01-31,2015-12-31,2016-01-31,2016-12-31,2017-01-31,2017-12-31,6618,198,5488,129,1152,6,0,0,1162,28,0,1130,1152,12-month forward label horizon purge at train-val and val-test boundaries,0
label_a_abs,8,2010-01-31,2016-12-31,2017-01-31,2017-12-31,2018-01-31,2018-12-31,7770,204,6618,198,1162,28,0,0,1164,101,0,1152,1162,12-month forward label horizon purge at train-val and val-test boundaries,0
label_a_abs,9,2010-01-31,2017-12-31,2018-01-31,2018-12-31,2019-01-31,2019-12-31,8932,232,7770,204,1164,101,0,0,1182,219,0,1162,1164,12-month forward label horizon purge at train-val and val-test boundaries,0
label_a_abs,10,2010-01-31,2018-12-31,2019-01-31,2019-12-31,2020-01-31,2020-12-31,10096,333,8932,232,1182,219,0,0,1188,38,0,1164,1182,12-month forward label horizon purge at train-val and val-test boundaries,0
