target,model_name,metric,n_folds_evaluable,median,iqr,min,max
label_a_abs,macro_only_logit,AUROC,12,0.544972546404116,0.19077280763038218,0.3324607329842932,0.6449885583524028
label_a_abs,macro_only_logit,AUPRC,12,0.046994092902317236,0.04775394096077762,0.004491059460180299,0.2202337235156095
label_a_abs,macro_only_logit,top_decile_capture,12,0.07291666666666666,0.08667608874488653,0.0,0.1592356687898089
label_a_abs,macro_only_logit,top_quintile_capture,12,0.18234323432343236,0.14040832671190762,0.0,0.42857142857142855
label_a_abs,macro_only_logit,brier,12,0.053759212878563487,0.050943925535087975,0.005211617729538436,0.17840323794270338
label_a_abs,naive_drawdown_baseline,AUROC,14,0.6770052535981506,0.0842679752165395,0.5524745269286754,0.919889502762431
label_a_abs,naive_drawdown_baseline,AUPRC,14,0.11863353954339906,0.08936731510023621,0.008659723942086629,0.4698122628930872
label_a_abs,naive_drawdown_baseline,top_decile_capture,14,0.25260017050298383,0.1794232444215459,0.0,0.7272727272727273
label_a_abs,naive_drawdown_baseline,top_quintile_capture,14,0.46951537258989057,0.0729779411764706,0.32926829268292684,0.9090909090909091
label_a_abs,naive_drawdown_baseline,brier,14,0.11432563733423244,0.04948125007115306,0.062013359350859144,0.15602289396438304
label_a_abs,naive_momentum_vol_baseline,AUROC,12,0.7161092095767606,0.10174434906934227,0.45324942791762013,0.9958778822620121
label_a_abs,naive_momentum_vol_baseline,AUPRC,12,0.1619673685455323,0.18932397215272223,0.022263856515439464,0.4912458573172859
label_a_abs,naive_momentum_vol_baseline,top_decile_capture,12,0.3077731092436975,0.16981658769613173,0.10526315789473684,1.0
label_a_abs,naive_momentum_vol_baseline,top_quintile_capture,12,0.44775079617834396,0.12374247400916388,0.10526315789473684,1.0
label_a_abs,naive_momentum_vol_baseline,brier,12,0.050333142183459786,0.05361008967223572,0.004217479104498416,0.16912105319467555
label_a_abs,price_macro_logit,AUROC,12,0.7156315324705582,0.1382483581105517,0.56502615798604,0.9943320881102666
label_a_abs,price_macro_logit,AUPRC,12,0.16924966706395772,0.26086390124748055,0.013548345213913657,0.5063725490196078
label_a_abs,price_macro_logit,top_decile_capture,12,0.30557713220444305,0.13008159537882108,0.10526315789473684,1.0
label_a_abs,price_macro_logit,top_quintile_capture,12,0.4498589419189716,0.21139477530142492,0.16666666666666666,1.0
label_a_abs,price_macro_logit,brier,12,0.05650231037628877,0.0650720472681166,0.006251514939331515,0.168915168364188
label_a_abs,price_relative_logit,AUROC,12,0.715785356066714,0.10482039421535916,0.47693363844393594,0.9960066984413243
label_a_abs,price_relative_logit,AUPRC,12,0.15983681779163647,0.19382870600495308,0.022430614433706413,0.49192612942612945
label_a_abs,price_relative_logit,top_decile_capture,12,0.32563025210084034,0.16769991844026721,0.10526315789473684,1.0
label_a_abs,price_relative_logit,top_quintile_capture,12,0.4541202229299363,0.1283150724244551,0.10526315789473684,1.0
label_a_abs,price_relative_logit,brier,12,0.05036806515054097,0.053656923241245935,0.004223392931815844,0.16898828761096515
label_a_rel,macro_only_logit,AUROC,12,0.5161059488282042,0.07670695953487194,0.39839849614882267,0.6720145925146791
label_a_rel,macro_only_logit,AUPRC,12,0.13352271314544084,0.09850413170068145,0.032001354056054324,0.25224014345273504
label_a_rel,macro_only_logit,top_decile_capture,12,0.1093172119487909,0.05437594042828969,0.061224489795918366,0.26865671641791045
label_a_rel,macro_only_logit,top_quintile_capture,12,0.21318140174072378,0.08619883449255267,0.11392405063291139,0.417910447761194
label_a_rel,macro_only_logit,brier,12,0.11390868094369416,0.07287283508959778,0.022371713497692878,0.19287322697975898
label_a_rel,naive_drawdown_baseline,AUROC,14,0.6343735535536933,0.0942407520128199,0.5369648318042813,0.6989593123433584
label_a_rel,naive_drawdown_baseline,AUPRC,14,0.1813738134653598,0.13135553687134058,0.037106593872511605,0.42190593673964627
label_a_rel,naive_drawdown_baseline,top_decile_capture,14,0.2113095238095238,0.08517704914369595,0.08955223880597014,0.3559322033898305
label_a_rel,naive_drawdown_baseline,top_quintile_capture,14,0.37104430379746833,0.07627700399439524,0.2727272727272727,0.4576271186440678
label_a_rel,naive_drawdown_baseline,brier,14,0.1425451385769435,0.048636787302046444,0.08230070503299171,0.17805907925270992
label_a_rel,naive_momentum_vol_baseline,AUROC,12,0.6869278028970693,0.05337899432247284,0.5024564953998961,0.8321123321123322
label_a_rel,naive_momentum_vol_baseline,AUPRC,12,0.2522377270485821,0.09111893943276511,0.07076914575993724,0.47296561800497666
label_a_rel,naive_momentum_vol_baseline,top_decile_capture,12,0.23416273416273414,0.09577445720302863,0.0847457627118644,0.5833333333333334
label_a_rel,naive_momentum_vol_baseline,top_quintile_capture,12,0.38659858014696724,0.09701828364668957,0.1791044776119403,0.5833333333333334
label_a_rel,naive_momentum_vol_baseline,brier,12,0.1181043541929048,0.060728075429931,0.02146559806500998,0.17880849211073332
label_a_rel,price_macro_logit,AUROC,12,0.7003595682137522,0.056330617970616226,0.5672973224865858,0.8024059099530798
label_a_rel,price_macro_logit,AUPRC,12,0.27422308470553525,0.09960532326092958,0.07133674051338995,0.48979917267443845
label_a_rel,price_macro_logit,top_decile_capture,12,0.24807987711213517,0.06531201265378478,0.11940298507462686,0.5416666666666666
label_a_rel,price_macro_logit,top_quintile_capture,12,0.4063352826510721,0.0926083428727365,0.19402985074626866,0.6666666666666666
label_a_rel,price_macro_logit,brier,12,0.11257290088673841,0.05580566993245027,0.018708912564442792,0.17322179553748254
label_a_rel,price_relative_logit,AUROC,12,0.6858939459835584,0.0541506976855779,0.5040542159851945,0.8320360195360196
label_a_rel,price_relative_logit,AUPRC,12,0.2509838025370233,0.09139931957221686,0.06998318910123319,0.47065801045956446
label_a_rel,price_relative_logit,top_decile_capture,12,0.23416273416273414,0.08356403249260391,0.1016949152542373,0.5833333333333334
label_a_rel,price_relative_logit,top_quintile_capture,12,0.3942796179638285,0.08595821371858092,0.1791044776119403,0.5833333333333334
label_a_rel,price_relative_logit,brier,12,0.11806317492749445,0.06076101478393389,0.02146410641297818,0.17884146329979034
