ticker,price_symbol,download_status,n_daily_rows,first_trade_date,last_trade_date,covers_2010_start,covers_required_2025_12,active_2024_test_window_evaluable,special_note,error
GE,GE,ok,4392,2009-01-02,2026-06-18,1,1,1,,
F,F,ok,4392,2009-01-02,2026-06-18,1,1,1,,
BBBY,BBBY,ok,3600,2009-01-02,2023-04-21,1,0,0,Use old Bed Bath & Beyond bankruptcy entity CIK 0000886158; truncate Yahoo BBBY price history at 2023-04-21 before the Chapter 11 filing. Do not attach current CIK 0001130713 to legacy BBBY samples.,
XOM,XOM,ok,4392,2009-01-02,2026-06-18,1,1,1,,
CHK,EXE,ok,1345,2021-02-10,2026-06-18,0,1,1,CHK Yahoo symbol unavailable; EXE/CIK successor used for post-reorg coverage; no hard splice to old CHK price.,
INTC,INTC,ok,4392,2009-01-02,2026-06-18,1,1,1,,
SNAP,SNAP,ok,2338,2017-03-02,2026-06-18,0,1,1,,
PFE,PFE,ok,4392,2009-01-02,2026-06-18,1,1,1,,
SPG,SPG,ok,4392,2009-01-02,2026-06-18,1,1,1,,
AAL,AAL,ok,4392,2009-01-02,2026-06-18,1,1,1,,
AAPL,AAPL,ok,4392,2009-01-02,2026-06-18,1,1,1,,
MSFT,MSFT,ok,4392,2009-01-02,2026-06-18,1,1,1,,
NVDA,NVDA,ok,4392,2009-01-02,2026-06-18,1,1,1,,
AMD,AMD,ok,4392,2009-01-02,2026-06-18,1,1,1,,
MU,MU,ok,4392,2009-01-02,2026-06-18,1,1,1,,
CSCO,CSCO,ok,4392,2009-01-02,2026-06-18,1,1,1,,
ORCL,ORCL,ok,4392,2009-01-02,2026-06-18,1,1,1,,
CRM,CRM,ok,4392,2009-01-02,2026-06-18,1,1,1,,
IBM,IBM,ok,4392,2009-01-02,2026-06-18,1,1,1,,
META,META,ok,3541,2012-05-18,2026-06-18,0,1,1,,
GOOGL,GOOGL,ok,4392,2009-01-02,2026-06-18,1,1,1,,
NFLX,NFLX,ok,4392,2009-01-02,2026-06-18,1,1,1,,
PYPL,PYPL,ok,2756,2015-07-06,2026-06-18,0,1,1,,
SQ,XYZ,ok,2659,2015-11-19,2026-06-18,0,1,1,SQ Yahoo/SEC current symbol unavailable; XYZ used as current Block ticker.,
UBER,UBER,ok,1787,2019-05-10,2026-06-18,0,1,1,,
AMZN,AMZN,ok,4392,2009-01-02,2026-06-18,1,1,1,,
TSLA,TSLA,ok,4018,2010-06-29,2026-06-18,0,1,1,,
GM,GM,ok,3918,2010-11-18,2026-06-18,0,1,1,,
HD,HD,ok,4392,2009-01-02,2026-06-18,1,1,1,,
LOW,LOW,ok,4392,2009-01-02,2026-06-18,1,1,1,,
NKE,NKE,ok,4392,2009-01-02,2026-06-18,1,1,1,,
SBUX,SBUX,ok,4392,2009-01-02,2026-06-18,1,1,1,,
MCD,MCD,ok,4392,2009-01-02,2026-06-18,1,1,1,,
TGT,TGT,ok,4392,2009-01-02,2026-06-18,1,1,1,,
WMT,WMT,ok,4392,2009-01-02,2026-06-18,1,1,1,,
COST,COST,ok,4392,2009-01-02,2026-06-18,1,1,1,,
M,M,ok,4392,2009-01-02,2026-06-18,1,1,1,,
KSS,KSS,ok,4392,2009-01-02,2026-06-18,1,1,1,,
GPS,GAP,ok,4392,2009-01-02,2026-06-18,1,1,1,GPS Yahoo/SEC current symbol unavailable; GAP used as current Gap ticker.,
ROST,ROST,ok,4392,2009-01-02,2026-06-18,1,1,1,,
BA,BA,ok,4392,2009-01-02,2026-06-18,1,1,1,,
CAT,CAT,ok,4392,2009-01-02,2026-06-18,1,1,1,,
DE,DE,ok,4392,2009-01-02,2026-06-18,1,1,1,,
MMM,MMM,ok,4392,2009-01-02,2026-06-18,1,1,1,,
HON,HON,ok,4392,2009-01-02,2026-06-18,1,1,1,,
UPS,UPS,ok,4392,2009-01-02,2026-06-18,1,1,1,,
FDX,FDX,ok,4392,2009-01-02,2026-06-18,1,1,1,,
DAL,DAL,ok,4392,2009-01-02,2026-06-18,1,1,1,,
UAL,UAL,ok,4392,2009-01-02,2026-06-18,1,1,1,,
LUV,LUV,ok,4392,2009-01-02,2026-06-18,1,1,1,,
CVX,CVX,ok,4392,2009-01-02,2026-06-18,1,1,1,,
COP,COP,ok,4392,2009-01-02,2026-06-18,1,1,1,,
OXY,OXY,ok,4392,2009-01-02,2026-06-18,1,1,1,,
SLB,SLB,ok,4392,2009-01-02,2026-06-18,1,1,1,,
HAL,HAL,ok,4392,2009-01-02,2026-06-18,1,1,1,,
FCX,FCX,ok,4392,2009-01-02,2026-06-18,1,1,1,,
NUE,NUE,ok,4392,2009-01-02,2026-06-18,1,1,1,,
DOW,DOW,ok,1823,2019-03-20,2026-06-18,0,1,1,,
ALB,ALB,ok,4392,2009-01-02,2026-06-18,1,1,1,,
MOS,MOS,ok,4392,2009-01-02,2026-06-18,1,1,1,,
JNJ,JNJ,ok,4392,2009-01-02,2026-06-18,1,1,1,,
MRK,MRK,ok,4392,2009-01-02,2026-06-18,1,1,1,,
ABBV,ABBV,ok,3386,2013-01-02,2026-06-18,0,1,1,,
BMY,BMY,ok,4392,2009-01-02,2026-06-18,1,1,1,,
GILD,GILD,ok,4392,2009-01-02,2026-06-18,1,1,1,,
AMGN,AMGN,ok,4392,2009-01-02,2026-06-18,1,1,1,,
MDT,MDT,ok,4392,2009-01-02,2026-06-18,1,1,1,,
CVS,CVS,ok,4392,2009-01-02,2026-06-18,1,1,1,,
UNH,UNH,ok,4392,2009-01-02,2026-06-18,1,1,1,,
TMO,TMO,ok,4392,2009-01-02,2026-06-18,1,1,1,,
AMT,AMT,ok,4392,2009-01-02,2026-06-18,1,1,1,,
PLD,PLD,ok,4392,2009-01-02,2026-06-18,1,1,1,,
O,O,ok,4392,2009-01-02,2026-06-18,1,1,1,,
VTR,VTR,ok,4392,2009-01-02,2026-06-18,1,1,1,,
T,T,ok,4392,2009-01-02,2026-06-18,1,1,1,,
VZ,VZ,ok,4392,2009-01-02,2026-06-18,1,1,1,,
KO,KO,ok,4392,2009-01-02,2026-06-18,1,1,1,,
PEP,PEP,ok,4392,2009-01-02,2026-06-18,1,1,1,,
PG,PG,ok,4392,2009-01-02,2026-06-18,1,1,1,,
KHC,KHC,ok,2756,2015-07-06,2026-06-18,0,1,1,,
ADBE,ADBE,ok,4392,2009-01-02,2026-06-18,1,1,1,,
TXN,TXN,ok,4392,2009-01-02,2026-06-18,1,1,1,,
QCOM,QCOM,ok,4392,2009-01-02,2026-06-18,1,1,1,,
AVGO,AVGO,ok,4243,2009-08-06,2026-06-18,1,1,1,,
LRCX,LRCX,ok,4392,2009-01-02,2026-06-18,1,1,1,,
DIS,DIS,ok,4392,2009-01-02,2026-06-18,1,1,1,,
CMCSA,CMCSA,ok,4392,2009-01-02,2026-06-18,1,1,1,,
