ticker,price_symbol,sec_symbol,firm_name,sector,archetype,sample_phase,special_note,non_financial_screen,selection_status,effective_start,effective_end,sec_cik_override,price_end
GE,GE,GE,General Electric,Industrial,Restructuring,phase1,,1,selected,2010-01-01,,,
F,F,F,Ford Motor,Auto,Cyclical,phase1,,1,selected,2010-01-01,,,
BBBY,BBBY,BBBY,Bed Bath & Beyond,Retail,Distressed,phase1,Use old Bed Bath & Beyond bankruptcy entity CIK 0000886158; truncate Yahoo BBBY price history at 2023-04-21 before the Chapter 11 filing. Do not attach current CIK 0001130713 to legacy BBBY samples.,1,selected,2010-01-01,,886158,2023-04-21
XOM,XOM,XOM,Exxon Mobil,Energy,Commodity,phase1,,1,selected,2010-01-01,,,
CHK,EXE,EXE,Chesapeake Energy / Expand Energy,Energy,Distressed,phase1,CHK Yahoo symbol unavailable; EXE/CIK successor used for post-reorg coverage; no hard splice to old CHK price.,1,selected,2010-01-01,,,
INTC,INTC,INTC,Intel,Technology,Mature Tech,phase1,,1,selected,2010-01-01,,,
SNAP,SNAP,SNAP,Snap Inc.,Technology,Growth,phase1,,1,selected,2010-01-01,,,
PFE,PFE,PFE,Pfizer,Healthcare,Defensive,phase1,,1,selected,2010-01-01,,,
SPG,SPG,SPG,Simon Property Group,Real Estate,Rate-sensitive,phase1,,1,selected,2010-01-01,,,
AAL,AAL,AAL,American Airlines,Airlines,Distressed,phase1,,1,selected,2010-01-01,,,
AAPL,AAPL,AAPL,Apple,Technology,Stable,phase2,,1,selected,2010-01-01,,,
MSFT,MSFT,MSFT,Microsoft,Technology,Stable,phase2,,1,selected,2010-01-01,,,
NVDA,NVDA,NVDA,Nvidia,Semiconductors,Growth,phase2,,1,selected,2010-01-01,,,
AMD,AMD,AMD,AMD,Semiconductors,Cyclical,phase2,,1,selected,2010-01-01,,,
MU,MU,MU,Micron,Semiconductors,Cyclical,phase2,,1,selected,2010-01-01,,,
CSCO,CSCO,CSCO,Cisco,Technology,Stable,phase2,,1,selected,2010-01-01,,,
ORCL,ORCL,ORCL,Oracle,Technology,Stable,phase2,,1,selected,2010-01-01,,,
CRM,CRM,CRM,Salesforce,Software,Growth,phase2,,1,selected,2010-01-01,,,
IBM,IBM,IBM,IBM,Technology,Legacy,phase2,,1,selected,2010-01-01,,,
META,META,META,Meta Platforms,Communication,Growth,phase2,,1,selected,2010-01-01,,,
GOOGL,GOOGL,GOOGL,Alphabet,Communication,Stable,phase2,,1,selected,2010-01-01,,,
NFLX,NFLX,NFLX,Netflix,Media,Growth,phase2,,1,selected,2010-01-01,,,
PYPL,PYPL,PYPL,PayPal,Fintech,Transition,phase2,,1,selected,2010-01-01,,,
SQ,XYZ,XYZ,Block,Fintech,Growth,phase2,SQ Yahoo/SEC current symbol unavailable; XYZ used as current Block ticker.,1,selected,2010-01-01,,,
UBER,UBER,UBER,Uber,Platform,Growth,phase2,,1,selected,2010-01-01,,,
AMZN,AMZN,AMZN,Amazon,Consumer,Stable,phase2,,1,selected,2010-01-01,,,
TSLA,TSLA,TSLA,Tesla,Auto,Growth,phase2,,1,selected,2010-01-01,,,
GM,GM,GM,General Motors,Auto,Cyclical,phase2,,1,selected,2010-01-01,,,
HD,HD,HD,Home Depot,Retail,Housing-sensitive,phase2,,1,selected,2010-01-01,,,
LOW,LOW,LOW,Lowe's,Retail,Housing-sensitive,phase2,,1,selected,2010-01-01,,,
NKE,NKE,NKE,Nike,Consumer,Demand-sensitive,phase2,,1,selected,2010-01-01,,,
SBUX,SBUX,SBUX,Starbucks,Consumer,Demand-sensitive,phase2,,1,selected,2010-01-01,,,
MCD,MCD,MCD,McDonald's,Consumer,Defensive,phase2,,1,selected,2010-01-01,,,
TGT,TGT,TGT,Target,Retail,Retail,phase2,,1,selected,2010-01-01,,,
WMT,WMT,WMT,Walmart,Retail,Defensive,phase2,,1,selected,2010-01-01,,,
COST,COST,COST,Costco,Retail,Defensive,phase2,,1,selected,2010-01-01,,,
M,M,M,Macy's,Retail,Distressed,phase2,,1,selected,2010-01-01,,,
KSS,KSS,KSS,Kohl's,Retail,Distressed,phase2,,1,selected,2010-01-01,,,
GPS,GAP,GAP,Gap,Retail,Cyclical,phase2,GPS Yahoo/SEC current symbol unavailable; GAP used as current Gap ticker.,1,selected,2010-01-01,,,
ROST,ROST,ROST,Ross Stores,Retail,Stable,phase2,,1,selected,2010-01-01,,,
BA,BA,BA,Boeing,Aerospace,Stress,phase2,,1,selected,2010-01-01,,,
CAT,CAT,CAT,Caterpillar,Industrials,Macro-sensitive,phase2,,1,selected,2010-01-01,,,
DE,DE,DE,Deere,Industrials,Macro-sensitive,phase2,,1,selected,2010-01-01,,,
MMM,MMM,MMM,3M,Industrials,Litigation,phase2,,1,selected,2010-01-01,,,
HON,HON,HON,Honeywell,Industrials,Stable,phase2,,1,selected,2010-01-01,,,
UPS,UPS,UPS,UPS,Logistics,Macro-sensitive,phase2,,1,selected,2010-01-01,,,
FDX,FDX,FDX,FedEx,Logistics,Macro-sensitive,phase2,,1,selected,2010-01-01,,,
DAL,DAL,DAL,Delta,Airlines,Cyclical,phase2,,1,selected,2010-01-01,,,
UAL,UAL,UAL,United Airlines,Airlines,Cyclical,phase2,,1,selected,2010-01-01,,,
LUV,LUV,LUV,Southwest,Airlines,Cyclical,phase2,,1,selected,2010-01-01,,,
CVX,CVX,CVX,Chevron,Energy,Stable,phase2,,1,selected,2010-01-01,,,
COP,COP,COP,ConocoPhillips,Energy,Commodity,phase2,,1,selected,2010-01-01,,,
OXY,OXY,OXY,Occidental Petroleum,Energy,Leveraged,phase2,,1,selected,2010-01-01,,,
SLB,SLB,SLB,Schlumberger,Energy,Oil services,phase2,,1,selected,2010-01-01,,,
HAL,HAL,HAL,Halliburton,Energy,Oil services,phase2,,1,selected,2010-01-01,,,
FCX,FCX,FCX,Freeport-McMoRan,Materials,Commodity,phase2,,1,selected,2010-01-01,,,
NUE,NUE,NUE,Nucor,Materials,Cyclical,phase2,,1,selected,2010-01-01,,,
DOW,DOW,DOW,Dow,Chemicals,Cyclical,phase2,,1,selected,2010-01-01,,,
ALB,ALB,ALB,Albemarle,Materials,Commodity,phase2,,1,selected,2010-01-01,,,
MOS,MOS,MOS,Mosaic,Materials,Commodity,phase2,,1,selected,2010-01-01,,,
JNJ,JNJ,JNJ,Johnson & Johnson,Healthcare,Defensive,phase2,,1,selected,2010-01-01,,,
MRK,MRK,MRK,Merck,Healthcare,Defensive,phase2,,1,selected,2010-01-01,,,
ABBV,ABBV,ABBV,AbbVie,Healthcare,Stable,phase2,,1,selected,2010-01-01,,,
BMY,BMY,BMY,Bristol Myers Squibb,Healthcare,Stable,phase2,,1,selected,2010-01-01,,,
GILD,GILD,GILD,Gilead,Healthcare,Mature biotech,phase2,,1,selected,2010-01-01,,,
AMGN,AMGN,AMGN,Amgen,Healthcare,Stable,phase2,,1,selected,2010-01-01,,,
MDT,MDT,MDT,Medtronic,Healthcare,Stable,phase2,,1,selected,2010-01-01,,,
CVS,CVS,CVS,CVS Health,Healthcare,Mixed,phase2,,1,selected,2010-01-01,,,
UNH,UNH,UNH,UnitedHealth,Healthcare,Stable,phase2,,1,selected,2010-01-01,,,
TMO,TMO,TMO,Thermo Fisher,Healthcare,Stable,phase2,,1,selected,2010-01-01,,,
AMT,AMT,AMT,American Tower,Real Estate,Rate-sensitive,phase2,,1,selected,2010-01-01,,,
PLD,PLD,PLD,Prologis,Real Estate,Rate-sensitive,phase2,,1,selected,2010-01-01,,,
O,O,O,Realty Income,Real Estate,Rate-sensitive,phase2,,1,selected,2010-01-01,,,
VTR,VTR,VTR,Ventas,Real Estate,Rate-sensitive,phase2,,1,selected,2010-01-01,,,
T,T,T,AT&T,Telecom,Leveraged,phase2,,1,selected,2010-01-01,,,
VZ,VZ,VZ,Verizon,Telecom,Leveraged,phase2,,1,selected,2010-01-01,,,
KO,KO,KO,Coca-Cola,Staples,Defensive,phase2,,1,selected,2010-01-01,,,
PEP,PEP,PEP,PepsiCo,Staples,Defensive,phase2,,1,selected,2010-01-01,,,
PG,PG,PG,Procter & Gamble,Staples,Defensive,phase2,,1,selected,2010-01-01,,,
KHC,KHC,KHC,Kraft Heinz,Staples,Past stress,phase2,,1,selected,2010-01-01,,,
ADBE,ADBE,ADBE,Adobe,Software,Phase3 technology,phase3,,1,selected,2010-01-01,,,
TXN,TXN,TXN,Texas Instruments,Semiconductors,Phase3 technology,phase3,,1,selected,2010-01-01,,,
QCOM,QCOM,QCOM,Qualcomm,Semiconductors,Phase3 technology,phase3,,1,selected,2010-01-01,,,
AVGO,AVGO,AVGO,Broadcom,Semiconductors,Phase3 technology,phase3,,1,selected,2010-01-01,,,
LRCX,LRCX,LRCX,Lam Research,Semiconductors,Phase3 technology,phase3,,1,selected,2010-01-01,,,
DIS,DIS,DIS,Walt Disney,Media,Phase3 consumer/media,phase3,,1,selected,2010-01-01,,,
CMCSA,CMCSA,CMCSA,Comcast,Communication,Phase3 communication,phase3,,1,selected,2010-01-01,,,
BKNG,BKNG,BKNG,Booking Holdings,Consumer,Phase3 travel,phase3,,1,selected,2010-01-01,,,
CMG,CMG,CMG,Chipotle Mexican Grill,Consumer,Phase3 restaurant,phase3,,1,selected,2010-01-01,,,
TJX,TJX,TJX,TJX Companies,Retail,Phase3 retail,phase3,,1,selected,2010-01-01,,,
RTX,RTX,RTX,RTX,Aerospace,Phase3 industrial,phase3,,1,selected,2010-01-01,,,
LMT,LMT,LMT,Lockheed Martin,Aerospace,Phase3 industrial,phase3,,1,selected,2010-01-01,,,
NOC,NOC,NOC,Northrop Grumman,Aerospace,Phase3 industrial,phase3,,1,selected,2010-01-01,,,
ETN,ETN,ETN,Eaton,Industrials,Phase3 industrial,phase3,,1,selected,2010-01-01,,,
EMR,EMR,EMR,Emerson Electric,Industrials,Phase3 industrial,phase3,,1,selected,2010-01-01,,,
EOG,EOG,EOG,EOG Resources,Energy,Phase3 energy,phase3,,1,selected,2010-01-01,,,
KMI,KMI,KMI,Kinder Morgan,Energy,Phase3 energy,phase3,,1,selected,2010-01-01,,,
LIN,LIN,LIN,Linde,Materials,Phase3 materials,phase3,,1,selected,2010-01-01,,,
