model_family,Feature set,N,AUROC,AUROC_lo,AUROC_hi,AUPRC,Brier
pooled,Accounting only,5,0.5685108549750457,0.4321527560945592,0.6938578966100093,0.19715162824815682,0.10050028145285934
pooled,Market only,6,0.6534272594880619,0.5464638560882111,0.7492257826516446,0.18123030799441103,0.09920949823060131
pooled,Sector-rel only,6,0.7144136136779423,0.617635994786667,0.7980454314924368,0.2735798686369036,0.09567470612034658
pooled,Market + sector-rel,12,0.6869211673309044,0.5787848705108891,0.7773045133134561,0.23521699053612824,0.09603528718417817
pooled,Macro only,3,0.3422711748456878,0.27699796515695324,0.4009238272321741,0.08309067934667407,0.11409974714392082
pooled,Filing only,1,0.4737319450850725,0.44526590779354897,0.49756003963418577,0.10875079607943319,0.10205114294519183
pooled,Acct + Market,11,0.6145810119562795,0.48710104214830297,0.7271768226089741,0.19024370862076095,0.09892574794243614
pooled,Full model,15,0.5511199618559961,0.43162798738347374,0.6603787359310357,0.1974630435045944,0.10209483356785592
fe,Accounting only,5,0.6552703248977731,0.5530452783544585,0.7566793156653618,0.18218057348363756,0.10245954205008234
fe,Market only,6,0.6809054536596995,0.5712033824122513,0.7766685318956322,0.19856611950635916,0.10109126475341496
fe,Sector-rel only,6,0.7215656144242379,0.613262277918116,0.8181284054242104,0.2624237844583981,0.0963556521274915
fe,Market + sector-rel,12,0.7318284763647105,0.6313313827642542,0.8237392744868574,0.2691514359708821,0.09622109188606598
fe,Macro only,3,0.6406890538110317,0.5511872234692107,0.7335580002700641,0.17639266748082855,0.10209283266445977
fe,Filing only,1,0.6367625794882691,0.545832107527416,0.7299392511829769,0.17260560560821114,0.10277055943715098
fe,Acct + Market,11,0.6692057133084223,0.5596267619312913,0.7735587911952357,0.19340581690010175,0.10161988989832646
fe,Full model,15,0.6717594440096812,0.5620586688216085,0.7738567464737166,0.19248996528838225,0.1020442236506054
hazard,Accounting only,5,0.5596803366622961,0.4247289038201342,0.6826359756407508,0.1893681097332419,0.09943329356057884
hazard,Market only,6,0.644960171648018,0.5381072239531797,0.740346079060077,0.17814392930774486,0.09907955256592985
hazard,Sector-rel only,6,0.6967992205355709,0.5928319299346526,0.7858396464165527,0.2699418741218274,0.09463283838140138
hazard,Market + sector-rel,12,0.6802679927236166,0.5706980209067218,0.7751772613475962,0.2334034378159388,0.0955987493801524
hazard,Macro only,3,0.3464127274517628,0.28176915468874153,0.4050979171334618,0.08281974607500106,0.11416301641650693
hazard,Filing only,1,0.3685463558483154,0.28750629306407594,0.45530969752699446,0.08470696628106039,0.10165753427721223
hazard,Acct + Market,11,0.6109220898353485,0.48140918154066287,0.7269386937085628,0.1936371804997338,0.09847852025179563
hazard,Full model,15,0.5578521712541397,0.43842023877792174,0.6679792249799062,0.2003485487860014,0.1017023471799547
