slice,n_rows,n_events,n_flags,TP,FP,FN,TN,precision,recall
Retail,360,81,76,50,26,31,253,0.6578947368421053,0.6172839506172839
Technology,252,35,35,20,15,15,202,0.5714285714285714,0.5714285714285714
Communication,72,19,17,7,10,12,43,0.4117647058823529,0.3684210526315789
Materials,144,26,22,8,14,18,104,0.36363636363636365,0.3076923076923077
Auto,108,32,22,7,15,25,61,0.3181818181818182,0.21875
Media,36,14,10,0,10,14,12,0.0,0.0
Software,36,10,0,0,0,10,26,,0.0
Semiconductors,108,35,17,0,17,35,56,0.0,0.0
Real Estate,180,4,7,0,7,4,169,0.0,0.0
Platform,36,12,5,0,5,12,19,0.0,0.0
Aerospace,36,14,2,0,2,14,20,0.0,0.0
Airlines,144,5,12,0,12,5,127,0.0,0.0
Industrial,36,3,1,0,1,3,32,0.0,0.0
Healthcare,396,2,12,0,12,2,382,0.0,0.0
Fintech,36,13,11,0,11,13,12,0.0,0.0
Consumer,108,5,4,0,4,5,99,0.0,0.0
Logistics,72,4,2,0,2,4,66,0.0,0.0
Chemicals,36,0,0,0,0,0,36,,
Energy,216,0,22,0,22,0,194,0.0,
Industrials,144,0,1,0,1,0,143,0.0,
Staples,144,0,0,0,0,0,144,,
Telecom,72,0,0,0,0,0,72,,
