slice,n_rows,n_firms,n_events,event_rate,AUROC,AUROC_lo,AUROC_hi
Technology,252,7,35,0.1388888888888889,0.8438446346280448,0.610891085600907,0.9422799422799423
Retail,360,10,81,0.225,0.8325589627859639,0.45080428397381794,0.9429226409876494
Healthcare,396,11,2,0.005050505050505051,0.7753807106598984,0.5696729152575128,0.9582911392405062
Logistics,72,2,4,0.05555555555555555,0.7647058823529411,0.515625,0.7647058823529411
Communication,72,2,19,0.2638888888888889,0.7408142999006951,0.281733746130031,0.7408142999006951
Materials,144,4,26,0.18055555555555555,0.7027379400260756,0.4949494949494949,0.8196514271280627
Real Estate,180,5,4,0.022222222222222223,0.6903409090909091,0.4901785714285714,0.7997159090909091
Consumer,108,3,5,0.046296296296296294,0.5941747572815534,0.15483870967741933,0.7417475728155339
Auto,108,3,32,0.2962962962962963,0.4745065789473685,0.1773399014778325,0.47549224968579806
Platform,36,1,12,0.3333333333333333,0.40625,0.40625,0.40625
Semiconductors,108,3,35,0.32407407407407407,0.3362035225048924,0.16666666666666669,0.41241776315789475
Airlines,144,4,5,0.034722222222222224,0.33237410071942447,0.13711583924349882,0.6161971830985915
Software,36,1,10,0.2777777777777778,0.1923076923076923,0.1923076923076923,0.1923076923076923
Industrial,36,1,3,0.08333333333333333,0.18181818181818177,0.18181818181818177,0.18181818181818177
Media,36,1,14,0.3888888888888889,0.15259740259740256,0.15259740259740256,0.15259740259740256
Fintech,36,1,13,0.3611111111111111,0.07357859531772576,0.07357859531772576,0.07357859531772576
Aerospace,36,1,14,0.3888888888888889,0.07142857142857144,0.07142857142857144,0.07142857142857144
Chemicals,36,1,0,0.0,,,
Energy,216,6,0,0.0,,,
Industrials,144,4,0,0.0,,,
Staples,144,4,0,0.0,,,
Telecom,72,2,0,0.0,,,
